Percentage exceedance,Run-off (-)
9.36986301369863,4.918550378738317
9.424657534246576,4.901600466112687
9.479452054794521,4.8996124209078005
9.534246575342467,4.88729143588993
9.58904109589041,4.883875080250185
9.643835616438356,4.85034995172577
9.698630136986301,4.840701847065344
9.753424657534246,4.832482814423549
9.808219178082192,4.824059102733955
9.863013698630137,4.823664137997554
9.917808219178083,4.8088028637059805
9.972602739726028,4.782352809000097
10.027397260273972,4.771762595437572
10.082191780821919,4.754965257986305
10.136986301369863,4.75056898999394
10.191780821917808,4.722586944839363
10.246575342465754,4.72207904156112
10.301369863013699,4.694026862055367
10.356164383561643,4.690548465663387
10.41095890410959,4.684794665033693
10.465753424657533,4.68322038871398
10.52054794520548,4.6740527681863355
10.575342465753424,4.667310392377308
10.63013698630137,4.661364510851489
10.684931506849315,4.660637635250287
