Simulation,Nash-Sutcliffe,Nash-Sutcliffe with log flows,Non-parametric Kling-Gupta
#57,0.577519255909111,0.6854182834436737,0.8122148473914842
#58,0.6669018872430224,0.6657517587351259,0.8680291383931134
#59,0.6933161374858281,0.7799488179940846,0.8484080003846476
#60,0.6720850786409487,0.7924025831638435,0.8583184300638941
#61,0.647484739251264,0.7314696228835871,0.8672565350420228
#62,0.4866383868590569,0.52636710680249,0.7960824922300171
#63,0.7078255337969571,0.7474202161875706,0.8811732037293284
#64,0.6134571804716361,0.6773239116311469,0.840127058659174
#65,0.6138419620771615,0.687407401366815,0.8293444178298431
#66,0.6084868761558048,0.7451978351876173,0.8699108464560262
#67,0.6931017084108049,0.7552713385332077,0.8508825604930332
#68,0.6335820827326335,0.7674046610072595,0.8455872859174147
#69,0.6179021666137996,0.7060246866300548,0.8549882487784368
#70,0.6641994157990392,0.8126388039133939,0.8855650578998576
#71,0.2756045953612277,0.5552087000034597,0.8078692663296085
#72,0.6798453352092805,0.6923681256034793,0.8351816736618946
#73,0.5902640590129229,0.6763711982017448,0.8110581761994218
#74,0.6629711760622118,0.6925667169091267,0.8448801625324543
#75,0.6716966774997364,0.768678958275664,0.8448743851731362
#76,0.6081290104698708,0.6577986502203131,0.8320071258832598
#77,0.6260438094642091,0.7375130181379175,0.8424310726686707
#78,0.6099918194577381,0.6951417457491376,0.8222372658012835
#79,0.6813746972954436,0.8239130716964791,0.8757147681985018
#80,0.6534591186074071,0.7227250890595693,0.8341634436009979
#81,0.762719894098883,0.8594770831160485,0.8884513331598627
#82,0.6068928958420325,0.6304470024925515,0.8101947220999707
#83,0.6732031313477896,0.8080701042571621,0.8806733225089938
#84,0.6778100069612356,0.7145141954606781,0.8483874207420301
#85,0.5440315143877523,0.6552125250067948,0.8278803296970948
#86,0.6876508794243468,0.7825924166266364,0.887218670706785
#87,0.6261332872551761,0.6444577485087231,0.8112679752643701
#88,0.5367424859445973,0.6504528781266639,0.8321982543609324
#89,0.6356855835499664,0.7014052701346625,0.8440012993406351
#90,0.6356109995679284,0.711245701419911,0.853686702342993
#91,0.6660010757343648,0.7500689992661581,0.8414802066992727
#92,0.6492153727432974,0.675800927540595,0.8301775662552073
#93,0.2910983147235219,0.5455616875345735,0.8165828183607019
#94,0.7606105322208127,0.8508064963803417,0.8754153649925283
#95,0.6362096682173539,0.7446526499622858,0.8381931961040032
#96,0.6482832702133516,0.7024663475093813,0.8425121063417782
#97,0.6894369517975467,0.8214717719658908,0.8886715413176746
#98,0.3596890823117225,0.4076544756553232,0.7309331739493148
#99,0.6778770401090182,0.7595922842058448,0.8442310836275143
#100,0.6566667588625046,0.7767677700743338,0.8777351138757757
